feature,gain,split
xp_s6,4898.475967407227,17
lv_s5,4720.705078125,7
dxp300_s2,4522.882026672363,15
xp_r,4317.016021728516,14
xp_s8,4288.7756423950195,11
d_r,4213.142044067383,16
creep_rad_top,4141.88899230957,8
bb_diff,4105.546081542969,8
dxp300_s4,4045.008010864258,7
xp_s1,3962.483085632324,13
rank_tier_s7,3944.5589599609375,20
towers_dead_R,3938.344169616699,18
dlh300_s2,3890.8970947265625,2
dxp300_s1,3845.768997192383,11
xp_s5,3681.4629669189453,12
towers_dead_D,3632.5110092163086,14
d300_s8,3329.5249938964844,3
d300_r,3271.1880493164062,8
lv_s3,3127.1929779052734,7
creep_rad_mid,2987.8440551757812,3
ddmg300_s5,2935.5059509277344,8
dxp300_s7,2917.1959838867188,6
lv_s0,2844.9751892089844,7
dxp60_diff,2732.6209869384766,7
lv_s4,2275.4851837158203,9
dlh300_r,2256.795997619629,10
lv_s8,2248.084976196289,8
ddmg300_s0,2186.9070053100586,7
das300_diff,2114.8610076904297,7
d60_r,2033.052978515625,6
lv_s7,2000.3130493164062,4
d300_s2,1701.1590118408203,5
ddmg300_s9,1614.2190017700195,7
xp_d,1587.2639770507812,5
bb_r,1560.7880249023438,3
d60_diff,1493.8619995117188,5
d300_s3,1454.8199462890625,1
ddmg300_s6,1413.1719818115234,3
lv_s9,1270.8099899291992,7
dlh300_s9,1266.4849853515625,4
creep_dir_bot,1240.6799774169922,5
dxp300_s6,1213.1070251464844,3
lv_s6,1209.5809936523438,6
dd300_r,1154.328987121582,4
ddmg300_s4,1109.4176177978516,5
lv_s1,1050.75,4
dlh300_s3,1028.5350036621094,3
dlh300_s0,964.0770111083984,4
dlh300_s4,908.739990234375,2
lv_s2,899.0049743652344,4
bb_d,823.7880096435547,3
ddmg300_s7,785.8650054931641,3
dlh300_d,745.7449951171875,2
dlh300_s8,741.010009765625,1
ddmg300_s1,713.3950042724609,5
ddmg300_s8,626.9080047607422,3
ddmg300_s3,612.1599807739258,3
dist_0_4,597.2770156860352,3
ddmg300_r,583.0670166015625,2
ddmg300_diff,549.5780029296875,3
das300_s8,537.8600006103516,2
ddmg60_s4,488.81201171875,1
dxp60_s5,470.92401123046875,1
dlh300_s5,461.37799072265625,2
d300_s4,427.52099609375,1
dd60_r,419.75799560546875,1
das60_s2,399.21299743652344,2
creep_dir_mid,389.1520080566406,1
das300_s2,362.29998779296875,1
d60_s4,349.3659973144531,1
dd300_d,326.0439910888672,2
d60_s2,323.2490005493164,2
das300_s7,311.0190124511719,1
dxp60_r,296.68701171875,1
dist_6_9,294.2250061035156,1
das300_s1,288.00299072265625,1
d60_s3,286.5429992675781,1
ddmg300_d,256.33599853515625,2
dlh300_s6,252.94309997558594,2
das300_r,197.40899658203125,1
dk300_s6,191.06900024414062,1
das60_d,171.64199829101562,1
dk300_s5,161.61000061035156,1
d300_s0,155.77099609375,1
dist_6_7,149.54200744628906,1
ddmg300_s2,127.60199737548828,1
d60_s6,0.0,0
d60_s5,0.0,0
d60_s1,0.0,0
d60_s0,0.0,0
dxp60_s9,0.0,0
dxp60_s8,0.0,0
dxp60_s7,0.0,0
dxp60_s6,0.0,0
dxp60_s4,0.0,0
dxp60_s3,0.0,0
dxp60_s2,0.0,0
dlh300_s1,0.0,0
dlh60_s9,0.0,0
dlh60_s8,0.0,0
dlh60_s7,0.0,0
dlh60_s6,0.0,0
dlh60_s5,0.0,0
dlh60_s4,0.0,0
dlh60_s3,0.0,0
dlh60_s2,0.0,0
dlh60_s1,0.0,0
dlh60_s0,0.0,0
dxp60_s1,0.0,0
dxp60_s0,0.0,0
das300_s9,0.0,0
das300_s6,0.0,0
das300_s5,0.0,0
das300_s4,0.0,0
das300_s3,0.0,0
das300_s0,0.0,0
das60_s9,0.0,0
das60_s8,0.0,0
das60_s7,0.0,0
das60_s6,0.0,0
dlh300_s7,0.0,0
d300dn_s5,0.0,0
d300dn_s4,0.0,0
d300dn_s3,0.0,0
d300dn_s2,0.0,0
d300dn_s1,0.0,0
d300dn_s0,0.0,0
d60dn_s9,0.0,0
d60dn_s8,0.0,0
d60dn_s7,0.0,0
d60dn_s6,0.0,0
d60dn_s5,0.0,0
d60dn_s4,0.0,0
d60dn_s3,0.0,0
d60dn_s2,0.0,0
d60dn_s1,0.0,0
d60dn_s0,0.0,0
das60_s5,0.0,0
das60_s4,0.0,0
das60_s3,0.0,0
das60_s1,0.0,0
das60_s0,0.0,0
dd300_s9,0.0,0
dd300_s8,0.0,0
dd300_s7,0.0,0
dd300_s6,0.0,0
dd300_s5,0.0,0
dd300_s4,0.0,0
dd300_s3,0.0,0
dd300_s2,0.0,0
dd300_s1,0.0,0
dd300_s0,0.0,0
d300dn_s9,0.0,0
d300dn_s8,0.0,0
d300dn_s7,0.0,0
d300dn_s6,0.0,0
dd60_s9,0.0,0
dd60_s8,0.0,0
dd60_s7,0.0,0
dd60_s6,0.0,0
dd60_s5,0.0,0
dd60_s4,0.0,0
dd60_s3,0.0,0
dd60_s2,0.0,0
dd60_s1,0.0,0
dd60_s0,0.0,0
dk300_s9,0.0,0
dk300_s8,0.0,0
dk300_s7,0.0,0
dk300_s4,0.0,0
creep_diff_mid,0.0,0
creep_diff_top,0.0,0
dk300_s3,0.0,0
dk300_s2,0.0,0
dk300_s1,0.0,0
dk300_s0,0.0,0
dk60_s9,0.0,0
dk60_s8,0.0,0
dk60_s7,0.0,0
dk60_s6,0.0,0
dk60_s5,0.0,0
dk60_s4,0.0,0
dk60_s3,0.0,0
dk60_s2,0.0,0
dk60_s1,0.0,0
dk60_s0,0.0,0
creep_diff_bot,0.0,0
ddmg60_s9,0.0,0
ddmg60_s8,0.0,0
ddmg60_s7,0.0,0
ddmg60_s6,0.0,0
ddmg60_s5,0.0,0
ddmg60_s3,0.0,0
ddmg60_s2,0.0,0
ddmg60_s1,0.0,0
ddmg60_s0,0.0,0
dist_8_9,0.0,0
dist_7_9,0.0,0
dist_7_8,0.0,0
dist_6_8,0.0,0
dist_5_9,0.0,0
dist_5_8,0.0,0
dist_5_7,0.0,0
dist_5_6,0.0,0
dist_4_9,0.0,0
dist_4_8,0.0,0
dist_4_7,0.0,0
dist_4_6,0.0,0
dist_4_5,0.0,0
dist_3_9,0.0,0
dist_3_8,0.0,0
dist_3_7,0.0,0
dist_3_6,0.0,0
dist_3_5,0.0,0
d60_d,0.0,0
dist_3_4,0.0,0
dist_2_9,0.0,0
dist_2_8,0.0,0
dist_2_7,0.0,0
dist_2_6,0.0,0
dist_2_5,0.0,0
dist_2_4,0.0,0
dist_2_3,0.0,0
dist_1_9,0.0,0
dist_1_8,0.0,0
dist_1_7,0.0,0
dist_1_6,0.0,0
dist_1_5,0.0,0
dist_1_4,0.0,0
dist_1_3,0.0,0
dist_1_2,0.0,0
aegis_D,0.0,0
aegis_R,0.0,0
dist_0_9,0.0,0
dist_0_8,0.0,0
dist_0_7,0.0,0
dist_0_6,0.0,0
dist_0_5,0.0,0
dist_0_3,0.0,0
dist_0_2,0.0,0
dist_0_1,0.0,0
tsd_s9,0.0,0
tsd_s8,0.0,0
tsd_s7,0.0,0
tsd_s6,0.0,0
tsd_s5,0.0,0
tsd_s4,0.0,0
tsd_s3,0.0,0
dd60_d,0.0,0
dk300_d,0.0,0
dk300_r,0.0,0
dk60_d,0.0,0
dk60_r,0.0,0
ddmg60_diff,0.0,0
ddmg60_d,0.0,0
ddmg60_r,0.0,0
tsd_s2,0.0,0
tsd_s1,0.0,0
tsd_s0,0.0,0
bb_s9,0.0,0
bb_s8,0.0,0
bb_s7,0.0,0
bb_s6,0.0,0
bb_s5,0.0,0
bb_s4,0.0,0
bb_s3,0.0,0
dxp60_d,0.0,0
das300_d,0.0,0
das60_r,0.0,0
d300dn_diff,0.0,0
d300dn_d,0.0,0
d300dn_r,0.0,0
d60dn_diff,0.0,0
d60dn_d,0.0,0
d60dn_r,0.0,0
dlh60_diff,0.0,0
dlh60_d,0.0,0
dlh60_r,0.0,0
bb_s2,0.0,0
bb_s1,0.0,0
bb_s0,0.0,0
d300_s9,0.0,0
d300_s7,0.0,0
d300_s6,0.0,0
d300_s5,0.0,0
d300_s1,0.0,0
d60_s9,0.0,0
d60_s8,0.0,0
d60_s7,0.0,0
