feature,value
creep_dir_top,80.8333
creep_dir_mid,119.064
creep_dir_bot,172.859
creep_diff_top,0.532471
creep_diff_mid,4.12012
creep_diff_bot,-0.390381
hero_wr_r0,0.404412
hero_wr_r1,0.540123
hero_wr_r2,0.531128
hero_wr_r3,0.571655
hero_wr_r4,0.51469
hero_wr_r5,0.440066
hero_wr_r6,0.487968
hero_wr_r7,0.507547
hero_wr_r8,0.469059
hero_wr_r9,0.5
rank_tier_s0,nan
rank_tier_s1,nan
rank_tier_s2,nan
rank_tier_s3,nan
rank_tier_s4,nan
rank_tier_s5,nan
rank_tier_s6,nan
rank_tier_s7,nan
rank_tier_s8,nan
rank_tier_s9,nan
computed_mmr_s0,nan
computed_mmr_s1,nan
computed_mmr_s2,nan
computed_mmr_s3,nan
computed_mmr_s4,nan
computed_mmr_s5,nan
computed_mmr_s6,nan
computed_mmr_s7,nan
computed_mmr_s8,nan
computed_mmr_s9,nan
nw_r,4088
nw_d,3773
nw_diff,315
d60_r,1038
d60_d,897
d60_diff,141
d300_r,4088
d300_d,3773
d300_diff,315
bb_r,5
bb_d,5
bb_diff,0
k_r,0
k_d,0
k_diff,0
d_r,0
d_d,0
d_diff,0
kp_r,0
kp_d,0
kp_diff,0
xp_r,593
xp_d,656
xp_diff,-63
lv_r,6
lv_d,5
lv_diff,1
lh_r,6
lh_d,8
lh_diff,-2
aegis_R,0
aegis_D,0
dmg_r,70
dmg_d,511
dmg_diff,-441
ddmg60_r,19
ddmg60_d,444
ddmg60_diff,-425
ddmg300_r,70
ddmg300_d,511
ddmg300_diff,-441
dk60_r,0
dk60_d,0
dk60_diff,0
dk300_r,0
dk300_d,0
dk300_diff,0
dd60_r,0
dd60_d,0
dd60_diff,0
dd300_r,0
dd300_d,0
dd300_diff,0
das60_r,0
das60_d,0
das60_diff,0
das300_r,0
das300_d,0
das300_diff,0
dxp60_r,523
dxp60_d,656
dxp60_diff,-133
dxp300_r,593
dxp300_d,656
dxp300_diff,-63
dlh60_r,5
dlh60_d,8
dlh60_diff,-3
dlh300_r,6
dlh300_d,8
dlh300_diff,-2
dn_r,2
dn_d,2
dn_diff,0
d60dn_r,2
d60dn_d,2
d60dn_diff,0
d300dn_r,2
d300dn_d,2
d300dn_diff,0
obs_r,1
obs_d,1
obs_diff,0
sen_r,1
sen_d,1
sen_diff,0
towers_dead_R,nan
towers_dead_D,nan
towers_diff,nan
rax_dead_R,nan
rax_dead_D,nan
rax_diff,0
avg_rank_r,0
avg_rank_d,0
avg_mmr_r,0
avg_mmr_d,0
mmr_diff,0
